NAME,N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
Rapid City SD,942.0,34132.0,18843.0,6034.0,,1346.0,1214.0,,,259.0,5262.0,2269.0,1584.0,467.0,347.0,,16804.0,16.1,1045.0,0.76,0.82,0.92,,44.6,54.0,0.65,0.73,0.9,44.0,10.9,10.3,,33.2,45.7,16.7,5.3,7.8,0.68,40.9,9.2,2.5,2.3,0.2,,8.3,20.8,7.0,12.5,0.56,3.6,29.6,,21.6,8.3,19.0,5.9,1727.0,1410.0,317.0,86.2,90.6,82.5,81.4
Reading PA,3492.0,40266.0,21286.0,6556.0,7297.0,1782.0,1461.0,647.0,1063.0,173.0,8430.0,3376.0,1797.0,617.0,371.0,2268.0,18381.0,20.8,884.0,0.83,1.06,0.78,3378.0,59.3,57.0,0.92,0.97,0.95,57.0,10.0,5.8,4.2,47.0,65.0,20.2,7.6,8.4,0.91,48.1,12.6,,,0.9,10.1,,29.1,,13.6,0.92,5.6,34.1,18.3,23.2,8.6,36.9,8.6,2524.0,2249.0,275.0,86.0,,85.5,74.4
Redding CA,2000.0,44800.0,26081.0,7580.0,4687.0,2183.0,1689.0,623.0,1629.0,330.0,,,,,,2117.0,23842.0,15.8,1505.0,1.07,0.81,1.33,2915.0,48.8,60.0,0.79,0.8,1.0,43.4,14.4,6.4,8.0,29.0,40.5,18.7,6.7,8.4,0.81,39.3,9.1,3.4,1.7,1.7,5.7,8.0,21.3,7.9,12.1,0.66,5.7,30.1,16.8,25.6,10.3,16.3,5.7,2564.0,2142.0,422.0,89.1,95.6,87.9,78.9
Reno NV,2613.0,42349.0,20354.0,7214.0,7834.0,2183.0,1962.0,814.0,1720.0,268.0,7979.0,3003.0,,741.0,364.0,2020.0,18084.0,14.2,1274.0,0.81,0.72,1.12,3123.0,50.8,61.0,0.85,0.83,1.03,38.9,11.5,7.9,3.6,27.4,35.8,,8.0,,1.13,36.0,8.6,2.7,2.0,0.7,5.8,7.1,,11.7,10.7,1.1,5.3,28.1,15.3,25.9,10.5,26.2,7.2,,2122.0,444.0,87.4,93.3,86.9,77.8
Richmond VA,7547.0,38826.0,22442.0,5984.0,4854.0,1911.0,1648.0,489.0,1302.0,194.0,7433.0,3073.0,1600.0,617.0,400.0,1744.0,,20.4,962.0,0.88,1.04,,3108.0,57.1,54.0,0.85,0.93,0.91,55.9,16.5,8.8,7.6,39.5,44.6,19.6,7.9,7.7,1.02,50.5,12.2,4.0,2.4,1.6,8.3,8.5,28.3,13.7,12.5,1.1,,35.3,19.9,26.5,10.3,,7.9,2418.0,2045.0,372.0,85.8,90.2,,77.4
,1985.0,,37396.0,,10044.0,2557.0,1929.0,1108.0,,360.0,13721.0,6222.0,2546.0,1210.0,736.0,3008.0,,27.3,1176.0,1.44,1.39,1.04,6227.0,89.9,69.0,1.7,,1.16,74.7,14.9,12.0,2.8,59.9,68.0,32.0,15.1,11.6,,65.8,16.9,4.0,3.4,0.6,12.8,12.4,47.8,27.8,17.4,1.6,7.0,40.2,20.9,22.2,8.8,47.9,10.5,,3588.0,311.0,88.4,94.3,85.2,80.6
,,37312.0,21106.0,5991.0,4761.0,1829.0,1565.0,659.0,,158.0,7339.0,2913.0,1525.0,,,2006.0,18482.0,21.0,881.0,,1.07,0.78,2945.0,55.9,53.0,0.8,0.91,0.88,57.5,17.1,,8.7,40.4,49.1,18.5,6.5,8.0,0.82,51.6,12.8,4.2,2.3,,8.7,10.0,28.0,12.4,13.5,0.92,5.5,37.6,23.1,,11.0,27.8,,2325.0,,342.0,87.8,93.0,84.7,81.1
Rochester MN,2318.0,38873.0,22812.0,5939.0,6554.0,504.0,1780.0,,794.0,29.0,5584.0,2189.0,1422.0,660.0,358.0,956.0,20919.0,14.9,1407.0,0.94,0.76,1.24,2215.0,38.8,57.0,0.6,0.63,0.95,40.7,10.8,9.6,,29.9,58.6,14.8,5.0,6.5,0.77,38.1,8.4,2.4,2.2,,6.0,,,6.8,9.4,,1.9,26.1,14.2,,9.9,22.1,6.5,1660.0,1456.0,204.0,93.8,96.4,94.1,89.2
Rochester NY,4724.0,36824.0,20681.0,5927.0,4542.0,2112.0,1780.0,598.0,1028.0,157.0,6709.0,2653.0,1546.0,770.0,302.0,1438.0,18478.0,19.0,973.0,,,0.86,2664.0,44.9,59.0,0.73,0.73,0.99,52.0,8.6,7.7,1.0,43.4,46.8,16.6,4.8,8.2,0.59,45.0,11.1,2.2,2.0,0.2,8.9,8.3,21.1,6.7,12.7,0.53,7.9,29.2,14.4,31.4,9.8,22.0,6.5,1966.0,1704.0,262.0,88.6,94.8,87.1,79.2
Rockford IL,3922.0,39037.0,21382.0,7083.0,,1457.0,1689.0,528.0,1058.0,140.0,7171.0,2742.0,,538.0,346.0,1862.0,18931.0,17.0,1115.0,0.85,0.87,0.98,2758.0,50.4,55.0,0.75,0.82,0.91,46.5,9.9,7.8,2.1,,51.4,18.6,6.6,8.1,0.82,41.3,,2.4,1.9,0.5,,9.2,24.2,10.0,12.5,0.8,4.3,28.2,,29.9,10.3,24.0,6.8,2236.0,1958.0,278.0,90.6,94.9,91.1,83.2
Rome GA,1569.0,,21306.0,6375.0,4543.0,,2354.0,336.0,1326.0,,7200.0,2646.0,1761.0,775.0,433.0,1586.0,18923.0,17.0,1115.0,0.85,0.87,0.98,2694.0,48.6,55.0,0.73,0.79,0.93,46.5,11.6,8.6,3.1,34.8,44.1,17.3,6.7,,,42.1,10.5,3.1,2.4,0.7,7.4,,23.4,10.4,10.8,0.96,,34.6,18.0,34.6,15.8,,7.0,2338.0,1975.0,363.0,85.3,93.0,81.2,75.4
Royal Oak MI,3843.0,53797.0,30541.0,7830.0,7603.0,2988.0,2701.0,722.0,1168.0,245.0,11875.0,5290.0,2423.0,1116.0,676.0,2371.0,26146.0,23.1,,1.18,1.18,1.0,5292.0,80.8,66.0,1.44,1.32,1.09,63.4,12.2,7.1,5.1,51.2,58.7,28.0,11.2,11.8,0.95,54.1,14.3,3.2,2.0,1.2,,11.0,42.0,20.2,18.3,1.1,7.0,29.7,17.2,43.7,13.6,49.0,,3422.0,3110.0,,,95.7,95.6,76.2
Sacramento CA,,44522.0,25455.0,7037.0,5995.0,1917.0,1643.0,812.0,1418.0,246.0,,,1839.0,811.0,397.0,,23130.0,15.1,1531.0,1.04,0.77,1.35,2976.0,49.2,60.0,0.81,0.8,1.01,41.4,14.1,6.3,7.8,27.3,45.5,18.3,6.6,8.1,0.82,37.7,9.1,,,1.7,5.7,9.1,22.6,9.5,,,4.3,30.7,17.5,23.8,8.9,23.5,6.6,2505.0,2138.0,367.0,89.2,94.5,88.0,81.2
Saginaw MI,4478.0,41947.0,21983.0,7197.0,6192.0,2196.0,2402.0,618.0,1160.0,198.0,7651.0,3063.0,1760.0,767.0,425.0,1636.0,19254.0,17.9,1074.0,,0.92,,3168.0,55.4,57.0,0.86,0.9,,49.1,13.9,6.9,7.0,35.2,51.1,20.3,6.4,9.7,0.66,43.8,10.4,3.2,,1.4,7.2,9.4,26.9,9.3,,0.6,6.7,26.9,17.0,,14.6,28.3,7.4,2428.0,2110.0,318.0,87.6,91.2,84.7,83.6
Salem OR,793.0,32553.0,17234.0,6942.0,2879.0,1674.0,1897.0,767.0,1019.0,141.0,6818.0,2176.0,1484.0,512.0,364.0,,15561.0,11.7,1327.0,0.7,0.6,1.17,,38.4,57.0,0.6,0.63,0.96,,9.2,4.0,,23.0,23.4,14.7,5.4,5.8,0.94,28.4,7.4,2.1,1.1,1.0,5.2,4.9,,,8.7,0.86,5.2,25.8,13.6,35.5,10.8,17.7,6.0,2016.0,,258.0,85.3,86.2,84.3,84.5
Salinas CA,1360.0,54033.0,31311.0,8665.0,6316.0,,2492.0,715.0,1122.0,189.0,9879.0,,2283.0,677.0,417.0,3183.0,28460.0,17.4,1639.0,1.28,0.89,1.44,,59.0,57.0,0.92,0.96,0.95,47.6,19.1,5.3,13.8,28.5,43.3,20.7,9.5,6.9,1.38,43.1,10.6,4.6,1.6,3.0,5.9,8.3,28.1,16.1,10.1,1.59,7.2,29.3,19.5,34.8,10.2,26.6,7.1,2961.0,2665.0,297.0,88.1,92.4,86.7,82.1
Salisbury MD,2737.0,44194.0,26281.0,7524.0,5826.0,1451.0,1247.0,722.0,,139.0,8279.0,3688.0,1863.0,833.0,335.0,1561.0,23142.0,18.9,1222.0,1.04,0.97,,3704.0,62.8,59.0,1.01,1.03,,51.9,11.9,6.6,5.3,40.0,50.6,21.9,8.8,8.6,1.03,,11.6,3.0,1.8,1.2,8.6,9.8,31.2,14.7,13.7,1.07,4.4,33.0,18.7,25.3,9.1,34.9,8.6,2657.0,2373.0,283.0,87.5,91.5,82.2,84.6
Salt Lake City UT,5833.0,38773.0,17194.0,6231.0,,3209.0,3451.0,532.0,1543.0,173.0,6123.0,,1697.0,536.0,306.0,1414.0,15431.0,11.6,1330.0,0.69,,1.17,2205.0,36.2,61.0,0.6,0.59,1.02,31.8,8.1,6.4,1.7,23.7,51.2,14.5,5.3,5.9,0.9,29.1,6.8,,1.6,0.4,4.8,9.0,15.8,6.6,8.1,0.82,9.6,22.7,13.0,38.6,17.0,14.7,5.3,,1560.0,395.0,,90.4,84.1,80.7
San Angelo TX,1016.0,37785.0,17486.0,5732.0,6276.0,2246.0,,413.0,1322.0,300.0,6084.0,2478.0,1527.0,604.0,,1118.0,15539.0,15.0,1034.0,0.7,,0.91,2521.0,47.1,54.0,0.69,0.77,0.89,41.2,11.8,,2.7,29.3,33.5,15.8,5.3,7.0,0.76,38.4,,2.8,,,5.6,5.8,21.2,8.2,11.9,0.69,6.7,21.0,10.9,49.0,24.7,14.1,5.4,1996.0,1647.0,349.0,90.2,95.4,90.2,81.7
San Antonio TX,7652.0,50586.0,25074.0,8175.0,7676.0,,3195.0,1350.0,1664.0,531.0,10915.0,3818.0,2084.0,916.0,601.0,3497.0,21727.0,20.5,1060.0,0.98,1.05,0.93,3889.0,65.9,59.0,1.06,1.07,0.99,56.1,20.7,,9.2,35.5,49.1,23.5,9.6,9.6,,,,4.8,2.9,1.9,6.9,8.8,32.7,16.2,14.5,1.12,9.4,31.4,20.5,38.0,17.3,28.9,7.5,3318.0,2877.0,,81.0,84.9,79.6,75.6
San Bernardino CA,4178.0,54821.0,30915.0,6905.0,8779.0,2248.0,3060.0,1012.0,1562.0,338.0,10469.0,4477.0,2102.0,760.0,563.0,2567.0,27011.0,19.1,1413.0,1.21,0.98,1.24,4484.0,,64.0,1.22,,,52.4,,9.8,,30.6,,,10.0,,0.88,49.6,11.5,5.2,2.6,2.6,6.3,10.1,36.2,17.4,16.7,1.05,5.3,29.7,21.9,37.5,15.4,27.8,7.3,,2778.0,425.0,82.1,89.7,84.6,67.7
San Diego CA,6752.0,52921.0,28530.0,8134.0,7352.0,2340.0,3892.0,,1432.0,335.0,10575.0,4084.0,2291.0,,620.0,2611.0,25258.0,18.4,1369.0,1.14,,1.21,4101.0,63.9,,1.12,1.04,1.07,50.5,22.7,,14.0,27.9,46.8,23.8,,8.9,1.16,47.9,10.9,5.2,2.3,2.9,5.7,8.6,30.5,16.1,12.1,1.33,5.1,28.7,21.1,44.6,17.0,30.6,7.7,3099.0,,373.0,84.5,92.3,86.0,
San Francisco CA,3325.0,57069.0,35769.0,,7772.0,2739.0,1733.0,969.0,1035.0,214.0,9102.0,4407.0,1861.0,687.0,379.0,1768.0,32279.0,18.7,1729.0,1.45,0.95,1.52,4435.0,64.1,69.0,1.21,1.05,1.16,51.2,,9.3,7.3,34.6,45.3,23.1,9.0,10.2,0.88,,11.2,4.1,2.5,1.6,7.1,9.1,31.8,14.5,,0.97,5.8,35.3,,21.4,7.6,31.7,7.8,2624.0,2352.0,272.0,88.4,94.4,,77.7
San Jose CA,2811.0,55490.0,32894.0,8457.0,7531.0,2190.0,2085.0,881.0,1156.0,295.0,,4194.0,,820.0,520.0,2546.0,29553.0,18.4,1606.0,1.33,0.94,1.41,4234.0,58.6,72.0,1.15,0.96,1.21,50.4,18.4,10.0,8.4,32.0,49.1,22.2,9.3,9.0,1.03,47.4,11.1,4.4,2.6,1.8,6.7,,28.0,14.0,,,3.9,33.5,22.4,28.4,9.0,24.4,,2932.0,2634.0,298.0,84.9,93.7,83.1,71.4
,,44795.0,22447.0,9659.0,5929.0,,2096.0,1061.0,1567.0,289.0,11172.0,,2457.0,981.0,411.0,3975.0,,14.9,1368.0,0.91,,1.21,3396.0,50.9,67.0,0.93,,1.11,40.7,15.6,9.6,6.0,,45.1,19.2,7.9,7.3,1.09,39.2,9.5,4.0,2.6,,5.5,9.4,24.1,11.6,10.7,1.09,3.7,25.7,15.5,34.1,11.2,21.4,,3280.0,2897.0,383.0,92.1,95.4,92.5,86.2
San Mateo County CA,1782.0,53020.0,30457.0,8097.0,6984.0,2663.0,2739.0,786.0,1097.0,197.0,,4479.0,2130.0,737.0,,,27097.0,16.4,1656.0,,0.84,1.46,4487.0,62.4,72.0,,1.02,1.2,44.8,17.7,9.5,,27.1,42.2,23.6,9.8,9.5,1.04,42.8,9.6,4.1,2.4,1.7,5.5,8.2,30.0,15.3,12.8,1.2,5.4,31.0,22.2,28.1,10.9,29.4,7.4,2720.0,2444.0,276.0,88.5,94.8,,77.6
,,41596.0,20984.0,8620.0,5813.0,1587.0,1970.0,862.0,1386.0,374.0,10273.0,3329.0,2398.0,911.0,578.0,3058.0,18642.0,13.3,1402.0,0.84,0.68,1.24,,,66.0,0.91,0.82,1.11,36.4,12.6,5.2,7.4,23.8,40.0,19.7,,,1.09,33.1,7.8,2.8,1.2,1.6,5.0,8.1,21.9,10.5,9.7,1.08,3.5,,17.1,27.9,10.2,20.6,6.3,2984.0,2636.0,348.0,85.6,,86.9,79.5
Santa Cruz CA,843.0,46538.0,25100.0,7328.0,6591.0,2798.0,2965.0,633.0,883.0,240.0,8455.0,3250.0,2041.0,700.0,501.0,1963.0,22686.0,,,1.02,0.76,1.35,3256.0,50.0,65.0,0.89,0.82,1.09,40.6,14.4,4.2,10.2,26.2,44.3,19.1,,7.1,1.16,36.2,8.4,3.0,1.1,1.9,5.4,8.5,22.0,11.2,9.4,1.19,4.9,26.6,15.7,36.4,12.5,21.4,6.3,2343.0,2121.0,222.0,90.0,97.9,,76.5
Santa Rosa CA,1376.0,45610.0,22870.0,,,2304.0,3395.0,,1576.0,311.0,,,,879.0,488.0,2774.0,20626.0,13.9,1481.0,0.93,0.71,1.3,3294.0,48.5,68.0,0.9,0.79,1.14,38.2,8.9,4.5,4.4,29.2,37.9,18.9,7.0,8.2,0.85,33.1,8.0,2.1,1.2,0.9,6.0,7.2,21.0,,10.8,,4.2,25.9,15.3,37.0,14.9,18.7,6.0,2715.0,2330.0,385.0,84.5,92.7,83.9,71.3
Sarasota FL,3758.0,46505.0,21417.0,10582.0,7046.0,2319.0,3073.0,462.0,1258.0,347.0,12280.0,4115.0,3081.0,1307.0,,3092.0,18308.0,15.4,1190.0,0.82,0.79,1.05,4125.0,64.9,64.0,1.12,1.06,1.06,42.1,,10.9,6.4,24.8,54.8,24.4,11.6,7.6,1.54,41.4,9.4,4.2,2.8,1.4,5.2,10.1,32.1,,11.2,1.65,6.7,24.1,16.5,45.4,14.7,33.6,,3524.0,3208.0,316.0,87.4,91.9,,
Savannah GA,3707.0,41647.0,23017.0,7107.0,3959.0,,3381.0,573.0,1312.0,235.0,8629.0,3216.0,1979.0,749.0,469.0,2216.0,20182.0,19.3,1047.0,,0.98,0.92,3233.0,61.7,52.0,0.88,1.01,0.88,52.8,15.3,8.9,6.4,37.5,39.2,20.3,9.2,6.8,1.36,47.9,11.5,3.8,2.3,1.4,7.8,7.4,30.0,16.7,11.0,1.53,5.7,,19.3,41.4,19.1,27.1,,2734.0,,,87.8,93.4,,78.1
Sayre PA,,36067.0,20839.0,6494.0,4050.0,1428.0,,579.0,,220.0,6930.0,2540.0,1612.0,550.0,392.0,,18542.0,18.5,1000.0,0.83,0.95,0.88,2617.0,47.3,,,0.77,0.92,50.8,8.4,7.8,0.6,42.4,42.2,17.4,5.2,8.4,0.62,,11.4,2.2,2.1,0.1,9.2,8.6,22.0,7.8,12.5,0.63,4.6,33.1,16.1,24.9,8.1,19.8,,,1895.0,307.0,89.5,94.5,85.1,84.0
Scranton PA,2438.0,41926.0,19841.0,6808.0,8144.0,2388.0,,795.0,1223.0,318.0,9165.0,,1956.0,806.0,454.0,2374.0,16755.0,,894.0,0.75,0.96,0.79,3627.0,62.4,58.0,0.99,1.02,0.97,51.3,6.9,5.8,1.2,44.4,53.0,21.6,8.0,9.7,0.83,43.1,10.9,1.8,1.5,0.3,9.1,9.5,30.6,13.6,14.9,0.91,6.7,24.5,11.7,39.2,12.2,29.9,7.6,2658.0,2341.0,,92.0,95.1,88.0,89.6
,8260.0,43217.0,22792.0,8345.0,6167.0,1777.0,2133.0,745.0,1066.0,191.0,7840.0,2924.0,1690.0,846.0,397.0,1984.0,20620.0,13.7,1500.0,,0.7,1.32,2947.0,45.0,65.0,0.8,0.73,1.09,37.7,10.3,7.6,2.7,27.4,,17.6,6.7,7.2,0.93,34.6,8.4,2.6,2.0,0.6,5.8,9.1,21.0,9.5,10.0,0.96,4.2,28.9,17.1,28.2,10.5,24.1,6.7,,2041.0,273.0,88.5,93.9,87.9,79.8
Shreveport LA,4062.0,53054.0,25116.0,6182.0,13758.0,2806.0,2186.0,854.0,1636.0,516.0,7862.0,3472.0,1613.0,,467.0,1620.0,21879.0,22.0,995.0,0.98,1.12,0.88,3510.0,69.1,51.0,0.96,1.13,0.85,60.2,11.9,7.7,4.2,48.3,52.6,,8.4,,0.88,52.0,12.3,3.0,2.0,0.9,9.3,9.3,34.1,15.1,16.2,0.93,8.3,34.3,17.9,30.0,,28.4,7.4,2584.0,2120.0,463.0,83.0,86.3,81.2,78.8
Sioux City IA,1799.0,33548.0,18036.0,6541.0,4087.0,790.0,2723.0,339.0,903.0,129.0,6243.0,2188.0,1632.0,474.0,330.0,1618.0,16043.0,15.8,,0.72,0.81,0.89,,45.7,51.0,0.63,0.75,0.85,43.4,10.3,4.0,6.2,33.1,37.4,18.2,4.0,,0.37,37.1,9.0,2.2,0.9,1.3,6.8,6.9,21.6,6.4,,0.47,2.5,25.3,12.7,39.1,,18.1,5.8,1908.0,,230.0,92.3,,89.6,87.0
Sioux Falls SD,4822.0,34074.0,18271.0,6692.0,5531.0,858.0,1308.0,248.0,957.0,209.0,5997.0,2113.0,1472.0,,367.0,1509.0,16323.0,15.4,1060.0,0.73,0.79,,2276.0,45.4,50.0,0.62,0.74,0.84,42.2,7.4,5.4,2.1,34.8,,15.5,4.1,8.0,,36.2,,1.7,1.3,0.4,6.8,9.2,20.8,6.3,13.0,0.49,2.7,26.0,11.2,19.3,7.7,16.8,,1792.0,1549.0,243.0,92.5,95.9,87.9,89.8
Slidell LA,749.0,51373.0,26531.0,,7602.0,3334.0,3562.0,1037.0,1904.0,286.0,9290.0,3548.0,1914.0,803.0,397.0,,23270.0,23.6,987.0,1.05,1.2,0.87,3558.0,68.8,52.0,0.97,1.12,0.86,64.6,11.9,,2.6,52.8,58.4,22.7,8.5,9.8,0.87,56.1,13.1,2.8,2.2,0.6,10.3,10.2,33.0,14.4,16.1,0.9,9.2,31.9,16.6,39.6,19.9,28.0,,3131.0,2612.0,519.0,87.4,92.8,88.7,77.5
South Bend IN,3992.0,38099.0,18541.0,7349.0,6611.0,1490.0,2334.0,429.0,1077.0,269.0,8017.0,2424.0,1640.0,609.0,430.0,2916.0,,15.2,1082.0,0.74,0.78,0.95,,46.8,52.0,0.67,0.76,0.87,,14.2,,6.2,27.5,56.4,16.5,6.1,6.4,0.95,38.8,9.0,3.3,2.0,1.3,5.7,11.0,22.2,9.9,10.3,0.96,4.7,27.3,16.2,29.2,12.5,19.2,6.1,2418.0,2132.0,286.0,89.4,93.5,87.4,84.1
,2247.0,,20148.0,5613.0,6685.0,1741.0,3010.0,,1399.0,152.0,6520.0,2602.0,1389.0,495.0,383.0,1651.0,17900.0,17.9,1001.0,0.8,0.91,0.88,2605.0,52.3,50.0,0.71,0.85,0.83,49.0,17.3,6.7,10.6,31.7,46.7,17.2,6.6,6.8,0.97,44.4,10.6,3.9,1.8,2.1,6.7,,,11.3,10.9,1.04,4.7,32.2,20.2,36.7,18.2,31.3,7.8,2251.0,1861.0,390.0,90.3,93.4,92.6,83.6
Spokane WA,6475.0,37278.0,,7763.0,5418.0,1471.0,1554.0,679.0,1636.0,254.0,7305.0,2236.0,1759.0,785.0,446.0,,16733.0,12.7,1321.0,0.75,0.65,1.16,2371.0,41.3,57.0,0.65,0.67,0.96,34.7,7.5,5.7,1.8,27.2,,15.5,5.3,6.9,0.77,30.8,7.5,1.8,1.4,0.4,5.7,,18.3,,10.0,0.72,3.9,26.0,12.9,23.3,,15.2,5.6,,,415.0,88.0,93.7,87.8,78.6
Springdale AR,2231.0,,18006.0,6111.0,5849.0,1653.0,1905.0,649.0,1321.0,,7291.0,2428.0,1631.0,590.0,432.0,2210.0,16029.0,17.1,936.0,0.72,0.87,0.82,2463.0,51.7,48.0,0.67,0.84,0.8,46.9,7.1,6.0,1.1,39.9,45.4,16.9,5.5,8.1,0.67,39.9,9.8,1.7,1.5,,8.1,8.4,24.3,,,0.69,5.5,31.1,14.5,32.7,14.2,17.2,5.9,,2002.0,346.0,83.8,87.6,82.6,78.2
,3801.0,46216.0,23823.0,7320.0,9105.0,2023.0,,1329.0,813.0,283.0,,3575.0,1611.0,717.0,423.0,2302.0,21222.0,16.8,1266.0,0.95,0.86,1.12,3585.0,,67.0,0.98,0.87,1.12,45.9,6.8,6.3,0.5,39.1,70.9,19.7,6.8,8.7,0.78,,9.9,1.8,1.7,0.1,8.1,12.8,25.4,9.9,13.0,0.76,6.0,29.9,13.0,22.0,8.2,33.6,8.2,2461.0,,209.0,90.5,93.3,92.7,
Springfield IL,5934.0,37429.0,20877.0,6936.0,5150.0,1313.0,1204.0,554.0,1222.0,174.0,7525.0,2558.0,1700.0,561.0,386.0,2321.0,18456.0,18.4,1001.0,0.83,0.94,0.88,2722.0,52.1,52.0,0.74,0.85,0.87,50.5,11.2,7.4,3.8,39.3,56.5,17.9,6.1,7.7,0.79,44.4,10.8,2.6,,0.8,8.2,11.3,25.1,10.0,13.0,0.77,4.1,32.6,15.0,22.1,7.9,20.4,6.3,2310.0,1990.0,320.0,90.9,94.3,86.6,88.1
Springfield MO,,36426.0,18805.0,6694.0,5100.0,1610.0,2720.0,178.0,1124.0,194.0,5875.0,2151.0,1497.0,579.0,379.0,1270.0,16807.0,16.1,1042.0,0.76,0.82,0.92,2295.0,45.0,,0.63,0.73,0.85,44.2,7.6,6.9,0.8,36.6,53.1,16.2,5.0,7.6,,38.5,9.5,1.9,1.8,0.2,7.5,9.9,21.0,8.0,,0.7,5.1,,15.1,30.7,16.4,,5.9,1870.0,1571.0,,88.3,92.7,87.2,81.7
St. Cloud MN,1058.0,35620.0,18256.0,6694.0,6499.0,1026.0,1791.0,341.0,,137.0,5763.0,2356.0,1468.0,570.0,330.0,1039.0,16258.0,13.8,1179.0,,0.7,1.04,2405.0,41.3,58.0,0.66,0.67,0.97,37.8,7.1,,2.8,30.7,,15.4,4.9,7.0,0.69,32.2,7.5,1.6,1.1,0.5,5.9,10.7,18.7,,10.8,0.6,3.5,24.4,12.0,23.4,9.6,,5.9,1660.0,1442.0,,90.6,95.0,,86.5
St. Joseph MI,951.0,41007.0,21646.0,6937.0,6170.0,2098.0,2064.0,820.0,1168.0,106.0,8033.0,2808.0,,776.0,,,19058.0,16.1,1186.0,0.86,,1.04,2929.0,46.6,63.0,0.8,0.76,1.05,,14.1,7.3,6.8,29.9,34.3,18.3,,7.5,,40.2,,3.4,1.9,1.5,5.8,6.7,21.6,9.2,10.6,0.86,6.4,26.9,,32.7,14.1,21.4,6.4,2472.0,2151.0,321.0,85.2,,,79.3
St. Louis MO,16573.0,43093.0,24485.0,7084.0,5586.0,1862.0,1984.0,696.0,1108.0,289.0,8292.0,3166.0,1821.0,650.0,450.0,,21485.0,20.5,1047.0,0.97,1.05,0.92,3243.0,58.3,56.0,0.88,0.95,0.93,56.2,14.5,7.7,6.9,41.7,,,6.9,9.9,0.69,49.6,12.2,3.6,2.1,1.5,8.6,9.5,,11.7,15.6,0.75,5.2,32.8,18.9,,12.5,27.5,7.4,2492.0,2192.0,,87.1,,87.8,79.6
St. Paul MN,2937.0,38923.0,21250.0,6387.0,6231.0,956.0,,467.0,783.0,85.0,6962.0,,,767.0,334.0,1963.0,19104.0,14.1,1351.0,0.86,0.72,1.19,2437.0,,56.0,0.66,0.71,0.93,,7.8,6.9,,30.9,50.0,16.4,5.1,7.8,0.66,34.4,8.2,1.9,,0.2,6.3,9.6,20.9,,,0.66,,25.3,14.3,32.0,13.4,,7.2,2089.0,1889.0,200.0,88.1,94.3,85.5,79.7
St. Petersburg FL,,50210.0,,8765.0,8380.0,2573.0,3990.0,651.0,1224.0,356.0,12098.0,4909.0,2460.0,943.0,596.0,3191.0,20054.0,20.0,1001.0,0.9,1.02,,4912.0,77.5,63.0,1.34,1.26,1.06,,,9.4,15.9,29.6,67.8,,12.1,11.5,1.06,52.2,,6.4,2.6,3.8,6.2,12.6,41.5,21.8,,1.26,6.6,31.0,24.6,33.3,18.6,38.8,8.8,3472.0,3152.0,320.0,,89.0,86.4,76.8
Stockton CA,1436.0,45701.0,26196.0,7007.0,7376.0,1401.0,1009.0,1098.0,,138.0,8438.0,3152.0,1716.0,813.0,292.0,2465.0,23672.0,16.2,1457.0,1.06,0.83,,3165.0,53.3,59.0,0.86,0.87,0.99,44.5,14.2,7.3,6.9,30.3,62.4,18.5,7.1,8.0,,40.6,9.9,,2.0,1.4,6.5,12.1,25.5,12.4,,1.07,3.6,33.9,19.8,17.9,6.9,17.9,6.0,2711.0,2311.0,400.0,90.9,97.0,92.4,79.8
