NAME,N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
Newark NJ,,65928.0,45037.0,,7510.0,2444.0,1570.0,910.0,945.0,361.0,13094.0,6811.0,2356.0,1051.0,642.0,,38621.0,33.1,1166.0,1.74,1.69,1.03,6811.0,104.2,65.0,1.86,1.7,1.09,90.7,24.6,16.3,8.3,66.1,56.1,34.1,16.5,,1.31,,20.4,6.3,,1.9,14.1,10.4,58.8,35.2,20.5,1.72,6.3,,29.4,23.5,7.9,45.8,9.9,3715.0,3456.0,259.0,89.9,93.0,,83.9
,2629.0,34215.0,17896.0,7318.0,4481.0,1728.0,953.0,503.0,1149.0,188.0,8233.0,3001.0,1727.0,535.0,479.0,2490.0,15409.0,17.4,883.0,0.69,0.89,0.78,3027.0,56.5,54.0,0.83,0.92,,47.8,13.3,7.6,5.6,34.5,44.4,,7.9,7.3,1.08,43.0,11.1,3.4,2.1,1.3,7.7,9.5,27.9,13.8,,1.15,6.3,34.8,20.9,19.1,7.2,,,2581.0,2251.0,330.0,89.5,93.6,89.4,82.7
Norfolk VA,5645.0,38562.0,,7409.0,5154.0,1938.0,1217.0,706.0,1337.0,188.0,8735.0,3387.0,1706.0,659.0,450.0,2533.0,17689.0,19.5,909.0,0.8,,0.8,3406.0,59.7,57.0,0.93,0.97,0.95,,12.4,7.2,5.2,40.9,54.6,21.4,8.1,8.7,0.94,46.6,11.6,,2.0,1.1,8.6,10.9,29.2,12.9,13.8,0.93,6.3,35.9,,21.6,9.0,34.7,8.6,2838.0,2447.0,391.0,88.7,94.7,,80.5
,4027.0,41181.0,20055.0,8473.0,5972.0,2043.0,2516.0,344.0,1463.0,315.0,,3521.0,2751.0,1204.0,587.0,2455.0,17027.0,15.9,1071.0,0.77,0.81,0.94,3606.0,58.3,62.0,0.98,0.95,1.03,43.6,9.6,6.2,3.5,33.9,60.0,22.4,9.4,8.0,,38.2,9.8,2.5,1.7,0.8,7.3,11.7,28.4,14.0,11.6,1.22,6.6,26.7,14.9,41.1,14.2,32.1,7.7,3305.0,2908.0,397.0,86.0,89.8,85.8,
,1509.0,45742.0,22670.0,6861.0,5808.0,2937.0,4579.0,882.0,1755.0,249.0,8383.0,2979.0,1827.0,885.0,455.0,2236.0,20061.0,19.2,1043.0,0.9,0.98,0.92,3030.0,58.5,52.0,0.83,0.95,0.87,52.7,18.7,12.7,,34.0,28.5,19.8,8.1,,1.01,50.5,11.2,4.3,2.9,,6.9,5.4,27.5,13.6,,1.11,10.2,27.9,17.5,49.1,,16.3,5.9,2791.0,,477.0,82.6,91.9,73.8,
Ogden UT,,38437.0,,6141.0,5103.0,2424.0,5805.0,354.0,1438.0,,6226.0,2008.0,1747.0,501.0,297.0,1673.0,15397.0,11.3,1357.0,0.69,0.58,,2013.0,34.4,59.0,0.55,0.56,0.98,31.1,9.4,7.3,2.0,21.7,45.6,14.1,5.0,5.7,,29.3,6.5,2.2,,0.4,4.3,8.0,14.5,5.7,7.8,0.74,8.8,20.4,13.3,50.0,,12.9,5.0,2006.0,1638.0,368.0,90.9,,90.3,86.0
Oklahoma City OK,9782.0,45624.0,23233.0,6496.0,6779.0,2749.0,4225.0,565.0,,195.0,,2806.0,1673.0,691.0,357.0,2262.0,20651.0,20.9,,0.93,1.07,0.87,2840.0,54.6,52.0,0.77,0.89,0.87,57.2,10.3,7.2,3.0,46.9,41.0,18.4,7.2,7.3,0.99,49.1,11.8,2.6,,0.7,9.2,7.8,26.8,13.2,12.0,1.1,8.6,,17.4,38.7,,,5.8,2472.0,2100.0,372.0,87.3,89.2,85.3,85.5
Olympia WA,1402.0,37640.0,18393.0,8077.0,5227.0,1649.0,2109.0,803.0,,208.0,7857.0,2299.0,1473.0,628.0,417.0,3039.0,,11.2,1509.0,0.76,0.57,1.33,2359.0,37.7,63.0,0.64,0.61,1.05,30.6,9.6,7.4,2.2,,,14.3,4.9,6.0,0.83,29.0,6.7,2.1,1.6,0.5,4.5,8.9,16.6,6.8,8.5,0.8,3.8,24.7,14.0,26.8,10.9,14.4,,2364.0,2062.0,302.0,86.5,,83.6,75.3
Omaha NE,,39265.0,20994.0,,5931.0,994.0,1661.0,364.0,1271.0,128.0,7439.0,2621.0,1687.0,560.0,,2225.0,18581.0,16.9,,0.84,0.86,0.97,2699.0,54.8,49.0,0.74,0.89,0.82,,12.7,7.0,5.7,33.7,50.2,,6.3,8.1,0.77,41.5,10.2,3.2,,1.4,7.1,9.5,27.9,12.0,14.1,0.85,3.0,29.7,16.7,26.7,9.9,23.8,6.8,2321.0,1990.0,330.0,91.3,94.4,89.5,87.2
Orange County CA,5850.0,65247.0,34141.0,10529.0,11367.0,,2830.0,,1602.0,400.0,14658.0,5960.0,2750.0,1186.0,798.0,3964.0,29181.0,21.0,1388.0,1.31,1.07,1.22,5963.0,88.4,67.0,1.63,1.44,1.13,57.6,25.7,13.6,12.2,31.9,61.0,31.5,15.3,11.2,1.36,56.4,12.4,6.0,3.4,2.6,6.3,10.8,46.5,27.6,16.0,1.73,7.2,32.6,24.5,,12.9,37.2,8.8,4137.0,3723.0,413.0,88.2,94.3,87.9,
Orlando FL,16088.0,48384.0,24324.0,,7325.0,2177.0,3715.0,569.0,,327.0,11184.0,4384.0,,1119.0,593.0,2627.0,20654.0,19.1,1084.0,0.93,0.97,0.95,4402.0,70.7,62.0,1.2,1.15,1.04,52.2,22.0,,,30.2,62.6,25.8,11.3,9.8,1.16,49.4,11.7,5.3,2.5,2.8,6.4,11.9,36.0,19.0,14.6,1.31,6.2,28.4,20.2,42.4,18.3,37.2,8.8,3419.0,3027.0,392.0,85.0,89.2,85.9,77.4
