N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
-0.0963636,0.007430094,0.6471309,1.0116524,-1.545344,-0.30552578,-1.6788023,0.88875353,-0.6599954,-0.63746476,-0.48616138,-0.7696057,0.173437,-0.3157199,-1.1151685,-0.07823768,0.86219686,-0.21986163,1.6573107,0.87292534,-0.21299794,1.6665365,-0.81885165,-1.4916805,1.7757654,-0.8261391,-1.4912133,1.7054652,-0.23041412,-0.11409726,-0.45782822,0.14863883,-0.21284474,-2.2575517,-1.2561295,-1.1665782,-0.9622371,-1.0328176,-0.25483868,-0.44484678,-0.27932402,-0.676517,0.08921423,-0.3901698,-2.5440927,-1.3019378,-1.1157424,-1.1930395,-0.99754953,-0.3693458,0.16742918,-0.38670707,-2.3244038,-1.9115368,-1.1856438,-1.5476488,-0.13016127,-0.042031284,-0.55282176,0.09606159,0.30689126,1.3326869,-0.88864905
-0.027813347,0.56126976,0.6058962,-0.12132688,0.34448847,0.53706324,0.24300334,0.25449932,-0.5122768,-0.468568,0.4975027,0.8451532,0.6494018,0.65149647,0.1453094,-0.4183038,0.57914644,0.300685,0.38749564,0.5767127,0.32099834,0.37174684,0.8254196,0.48134628,1.4271977,0.81822085,0.4699692,1.3935646,0.31246457,0.4386836,-0.65913624,0.9656432,0.11800719,0.6025753,0.700479,0.19377096,1.3480036,-0.56085235,0.23344696,0.3094526,0.4203788,-0.52175486,0.9762986,0.12546629,0.7172393,0.40369627,0.005337171,1.1161247,-0.49852073,0.053748045,-0.6049601,0.19649233,0.99198174,0.14847955,1.141786,1.3751192,0.3833536,0.496709,-0.51008284,0.9495883,1.2869899,1.7257714,-0.22894585
-0.091389656,-1.4344344,-1.1981639,-0.38932198,-0.7794091,-1.7010638,-0.7098668,-0.704257,-1.5191746,-1.5713645,-1.0744263,-1.230558,-1.0055332,-1.0422673,-0.9977327,-0.32966095,-1.1675048,-1.7567134,0.82162046,-1.1582488,-1.7664415,0.8033436,-1.3000542,-1.5353637,-0.31564084,-1.2908496,-1.5357859,-0.3738741,-1.7595222,-1.4960493,-1.5046299,-1.0528383,-1.2495143,-0.1978699,-1.4360477,-1.0562795,-1.8133786,-0.08888683,-1.84924,-1.754946,-1.52324,-1.6050898,-1.0196413,-1.266751,-0.3874055,-1.4220529,-1.0812477,-1.6772192,-0.6544672,-1.462338,-1.1750569,-1.4263227,-0.7482998,-0.6842929,-1.098637,-1.1199267,-1.2886368,-1.097142,-1.5678715,1.0673165,1.3818368,0.98327935,0.33651403
-0.045680095,0.19980411,0.24935667,0.43966284,-0.32511234,-0.05938904,1.0522903,-1.1880603,-0.8830805,0.6938391,0.72807163,1.1065179,0.009311213,1.087425,0.80295,-0.0057117334,0.114882894,0.62292784,-0.6272712,0.11123498,0.61226934,-0.61475915,1.0884252,0.8162511,1.2529138,1.1041967,0.8265481,1.2895976,0.61104816,0.91776043,0.30714247,1.0137023,0.19520606,-0.30524653,0.9478664,1.0761594,0.6184541,0.940856,0.67190754,0.70645237,0.9645921,0.5615801,0.9762986,0.2801572,-0.22959904,0.83611065,1.0056851,0.37123284,1.1233224,-0.51037693,-0.05325358,0.4247006,0.86063963,0.564866,1.2070409,1.2325453,0.45871583,0.6439771,-0.905418,-0.78689665,0.022345854,-0.28332472,-1.5672007
-0.055120725,-0.699274,-0.8661334,-0.34632277,-0.40618038,0.04250012,0.46791685,-0.701307,0.6363101,-0.7467509,-0.668393,-0.65555567,-0.7401965,-0.5700115,-0.7158867,-0.33127266,-0.8334406,-0.83955985,-0.2528385,-0.8197198,-0.8440844,-0.2448193,-0.7039085,-0.7563457,-0.31564084,-0.71889836,-0.7334838,-0.3738741,-0.8456766,-0.51946986,0.6694967,-1.0528383,-0.73117954,0.29996815,-0.8288241,-0.98274726,-0.35427907,-1.1186297,-0.6932989,-0.8815467,-0.6680478,0.09729345,-1.0196413,-0.6995514,0.13861574,-0.8214775,-0.9087739,-0.5598817,-0.9663603,0.018490264,-0.71530145,-0.86848015,0.1492038,0.27997005,-0.35908,-0.2644822,-0.4719203,-0.58636403,0.4835973,0.86129385,0.84436405,0.9396024,0.48730248
0.12392718,-0.14449365,-0.070253745,0.071669586,-0.7709865,0.2176579,0.29722357,-0.03460259,0.28359443,0.19708392,0.21376275,0.023042282,0.13240555,-0.11137841,0.32537767,0.5680491,-0.08631702,0.0032296437,-0.19857289,-0.10034547,-0.018817391,-0.18316236,-0.010353319,0.015391552,0.032926872,-0.0039590253,0.024246009,0.04199401,0.0048335223,-0.021967119,0.22661896,-0.16374528,0.01875144,-0.79332286,-0.08666239,0.37760192,-0.8406457,1.3699156,0.024181904,0.11095273,0.109399736,0.4068178,-0.13255692,0.12546629,-0.8082224,0.067374125,0.43652162,-0.82059366,1.3728368,0.053748045,0.2042094,0.399344,0.67457217,0.19230986,0.41310465,0.44838804,0.3009809,0.25809738,0.3553805,-0.6691684,-0.54674494,-0.43619,-0.6247675
-0.069408484,-0.26655003,-0.07836821,-0.17032598,-0.4604012,-0.44977334,-0.4116556,-0.078852884,0.2594771,-0.05129367,-0.21112214,-0.58332396,-0.24234833,-0.6653709,-0.066075094,0.67925555,-0.039871626,0.15195732,-0.3071041,-0.05802938,0.12681809,-0.30647588,-0.59188765,-0.36319664,-1.0127763,-0.57591045,-0.3769049,-0.9976759,0.14960104,0.8993343,0.54871184,0.86952513,-0.3672425,-0.6566617,-0.40151885,-0.02682633,-1.0230329,0.940856,0.31316695,0.34915274,1.0423368,0.7163421,0.9762986,-0.18391532,-0.54521203,-0.29297113,0.02258445,-0.82059366,0.71786153,-0.61615044,1.3627933,1.185395,-0.5403416,-0.13641617,-0.6201001,-0.6209173,-0.06881991,-0.15947294,0.5049668,0.5669744,1.0972939,0.7648995,-0.32318917
-0.10435291,0.1391287,0.0034388136,0.43466294,-0.12560079,-0.16929196,0.9749763,0.4492006,0.00021601656,-0.091034085,0.2326143,-0.012123157,0.40868396,-0.09775565,0.3332067,0.52292186,0.0040992163,-0.69083244,1.0061235,-0.01571329,-0.6984489,0.9883133,-0.060032133,-0.25398853,0.55577844,-0.07545309,-0.24318802,0.5618284,-0.68281305,0.16229317,-0.77992094,0.6772888,-0.9296906,-0.24667753,-0.221601,0.12023865,-0.9622371,1.1553855,-0.633509,-0.68304676,-0.12383448,-0.83127916,0.5327564,-0.80267876,-0.49260968,-0.28095958,0.12606879,-1.2675285,1.3104583,-0.72192395,-0.86242306,-0.5134895,1.3312821,0.54295087,0.3913529,0.16323988,0.19582427,0.22640678,-0.104063,-0.5514402,0.59143424,0.83041245,-2.2457538
-0.060503293,0.45391187,-0.36452717,1.1266502,1.681058,0.42258102,0.9187479,0.09814829,0.28057975,3.3067713,0.882751,0.34618416,0.99406594,1.0329338,1.1004541,1.1788788,-0.44569775,-0.46774092,-0.14973386,-0.4388747,-0.45572326,-0.121505775,0.35882843,0.17556351,0.73006225,0.3535104,0.15796316,0.7697621,-0.45661357,-0.29835755,-0.014950428,-0.3800112,-0.37827072,-0.47119254,0.38562253,0.5614329,0.19288297,0.64051414,-0.4242435,-0.4845469,-0.27932402,-0.2122307,-0.24344249,-0.44173336,-0.54521203,0.091397,0.16056351,0.07327611,0.21883292,0.08900582,-0.6233504,-0.2852812,1.0248171,0.98125243,0.4348564,0.519675,0.8618162,0.89004534,0.15237059,0.272655,0.21204199,0.39365265,0.11032922
-0.07586193,0.48812997,0.604737,1.4276447,-0.15034233,-0.7749028,-1.1586897,1.6174084,1.5738705,1.1905942,1.1805087,0.41651502,1.6150085,1.5097307,1.5936847,1.4141852,0.6290181,0.1271693,0.7076627,0.6190288,0.12681809,0.68003047,0.43967828,0.3066132,0.73006225,0.42500427,0.29168004,0.6657952,0.13150501,0.8072042,-0.2565202,1.2059387,-0.3121005,0.11449901,0.40811238,0.7820298,-0.23268756,1.3270097,0.1836219,0.4285526,0.9645921,0.09729345,1.3089551,-0.080788195,0.19121808,0.29559276,0.64349014,-0.41090316,1.3104583,-1.074502,0.90303785,0.7289781,-0.6826287,-1.1664245,-0.3482041,-0.40705645,1.3227528,1.130521,1.5841248,-0.9634878,-0.32543078,-0.5890569,-1.4164122
